text,category
"[속보] 李대통령, 7~11일 튀르키예·몽골 순방…나토 정상회의 참석 이재명 대통령은 7일부터 8일까지 튀르키예 앙카라에서 열리는 나토 정상회의에 참석하여 방산협력을 본격 추진할 계획이다. 이 대통령은 루터 사무총장과 첫 대면 면담을 갖고 한-나토 관계 현황을 점검할 예정이며, 일본, 호주, 뉴질랜드 등 인도·태평양 파트너국 대표들과 소인수회담을 갖는다. 이 대통령은 몽골 울란바타르로 이동해 국빈방문 일정을 시작하며, 후렐수흐 대통령과 정상회담, 협정·양해각서 교환식 및 공동언론발표를 예정하고 있다.",정치
"李대통령, 7∼11일 정상외교…나토회의 참석 후 몽골 국빈방문 이재명 대통령이 7일부터 11일에 걸쳐 튀르키예에서 열리는 나토 정상회의 참석 및 몽골 국빈방문 일정을 소화한다. 이 대통령은 우선 마르크 뤼터 나토 사무총장의 초청으로 앙카라에서 열리는 NATO 정상회의에 참석, 방산협력을 본격 추진할 것 이 대통령은 9일 몽골 울란바타르에 도착, 후렐수흐 대통령과 정상회담을 갖고 협정·MOU 교환식 및 공동언론발표를 통해 이번 정상회담 성과를 알리는 시간을 갖는다.",정치
"[단독]종합특검, ‘30일 3차 연장’ 국회에 요청···공소유지 변호사 ... 권창영 특별검사는 6일 서울 중구 법무법인 지평 사무실에서 취재진의 질문에 답하고 있다. 특검은 수사 기간을 추가로 30일 연장해달라고 요청하며, 인력난 해소를 위해 특검법 개정을 요구했다. 특검은 수사대상도 확대하여 '수사·감사·재판과 관련해 공무원 등이 수사 및 감사를 고의적으로 방해·지연·은폐·비호하거나 각 사건과 관련해 증거를 인멸하거나 인멸을 교사하는 행위를 했다는 의혹 사건'도 신설해달라고 요청했다.",정치
"與, 국회의원 워크숍 개최…한병도 ""李·文 만남, 후반기 국회 성과로 완... 한병도 더불어민주당 대표 직무대행 겸 원내대표가 22대 국회 후반기 국회의원 워크숍에서 민생 입법 완수를 강조했다. 두 대통령의 만남은 대한민국을 위한 공동 책임에 대한 비전으로, 후반기 국회가 성과로 완성해야 한다. 필리버스터·패스트트랙 제도 개선해 입법활동 할 것, 야당 상임위원장을 맡던 우리 부처에서 걱정이 많이들 있으시다고 한다.",정치
"김민석 ""총선 승리, 연속 집권이 가장 확실한 검찰개혁 담보"" 김민석 전 국무총리는 검찰개혁 완수의 필요성을 재확인 했다. 김 여사는 검찰을 소환한 꼴로 보도된 것에 대해 불가역적 검찰개혁이 필요하다고 말했다. 민주당은 총선 승리와 연속 집권으로 불가역적 검찰개혁의 담보를 만들겠다고 약속했다.",정치
"김민석 ""집권야당이어서 되겠나…난 총선·대선·지선 승리 이끈 유일한... 김민석 전 국무총리는 '집권 야당'을 사용해 여당의 지지층 단합과 확장을 강조했다. 김 전 총리는 이재명 정부 출범 후 민주당에 대해 '단합은 기본이고 확장은 필수다'고 말했다. 김 전 총리는 당 복귀 후 과제를 해결하기 위해 청년·문화·품격을 중점으로 하겠다고 밝혔다.",정치
"법사위, 국힘 불참 속 與주도 '반쪽' 출발…여당 간사 김승원 선출 국민의힘 의원들이 불참한 가운데 국회 법제사법위원회가 전체회의를 열어 여당 간사 선임 안과 법안심사소위원회 구성 건을 상정·의결했다. 서영교 법사위원장은 '하루라도 빨리 법사위를 정상 가동해 민생 법안들을 심사하고 처리하고자'며 '국민의힘 의원들이 참석하지 않은 것은 본인들의 책임을 방기하고 있는 것'이라며 비판했다. 법사위는 판사 출신 김승원 의원을 여당 간사로 선출해 100여개의 법안을 상정·의결하며, 개혁 입법과 민생 입법 등에 대해서는 매주 소위원회 회의와 전체회의를 운영하면서 통과시켜 내도록 하겠다.",정치
"송영길, '전북 소외론' 정청래·이원택에 ""집권여당 자세 아냐"" 송영길 의원은 이원택 전북지사를 향해 '올바른 자세가 아니'라고 비판, 정부 3대 메가 프로젝트에 대한 비판을 강조했다. 송 의원은 전북 소외론을 부정하고 대안을 제시하겠다고 밝혔다. 송 의원은 곧 당대표 출마 선언을 할 것임을 암시하며 잘 준비하겠다고 말했다.",정치
"김민석 ""민주당이 집권야당인가? 대대적 혁신해야"" 박성태: 민주당 내부 갈등을 해결하기 위해 총리와 원로들을 만나고, 메가 프로젝트의 성공을 위한 과제를 제기했다. 김민석: 모든 정치는 노선에 대한 치열한 토론과 논쟁을 통해 해결해야 되며, 후보 간의 문제 뿐만 아니라 민주진영 내에서 문제 제기하고 토론해야 될 주제를 제기하는 것이 중요하다. 박성태: 검찰의 보완수사권 폐지에 대한 우려를 표하며, 정부가 결론을 내고 나온 방향이 보완수사권 폐지가 아니라는 점을 강조했다.",정치
"홍준표, '호남 반도체 반대'에 ""경부고속도로 반대하던 야당의 모습"" 홍준표 전 대구시장은 호남 반도체 클러스터 조성에 대한 물과 전기 부족을 이유로 반대하는 것을 두고 과거 경부고속도로 건설을 반대하던 야당의 모습이라고 지적했다. 홍 전 시장은 인프라 부족 지역은 영원히 그대로 살라고 방치하는 건 국가가 할 일이 아니며, 대구는 이번 투자에서 소외된 건 유감이라고 했다. 홍 전 시장은 수도권과 영남을 중심으로 발전해온 한국사회를 호남지역까지 확장시키는 건 새로운 도약의 기회가 될 수도 있다고 말했다.",IT/과학|정치
